source_id,source_name,action,target,reason
295,warning--traffic-signals--g3,train,warning--traffic-signals,Merge only equivalent source meanings and visual variants.
296,regulatory--mopeds-and-bicycles-only--g1,train,regulatory--mopeds-and-bicycles-only,Merge only equivalent source meanings and visual variants.
297,regulatory--no-left-turn--g2,train,regulatory--no-left-turn,Merge only equivalent source meanings and visual variants.
298,regulatory--end-of-no-parking--g1,train,regulatory--end-of-no-parking,Merge only equivalent source meanings and visual variants.
299,regulatory--end-of-priority-road--g1,train,regulatory--end-of-priority-road,Merge only equivalent source meanings and visual variants.
300,regulatory--no-heavy-goods-vehicles-or-buses--g1,exclude,,Retain legacy scope; no geography claim.
301,warning--uneven-roads-ahead--g1,exclude,,Retain legacy scope; no geography claim.
302,warning--hairpin-curve-left--g1,train,warning--hairpin-curve-left,Merge only equivalent source meanings and visual variants.
303,information--trailer-camping--g1,exclude,,Retain legacy scope; no geography claim.
304,regulatory--no-stopping--g4,review,,Legacy manual no-parking override conflicts with source no-stopping name; inspect images.
305,regulatory--no-pedestrians-or-bicycles--g1,exclude,,Retain legacy scope; no geography claim.
306,regulatory--no-heavy-goods-vehicles--g5,train,regulatory--no-heavy-goods-vehicles,Merge only equivalent source meanings and visual variants.
307,warning--other-danger--g3,train,warning--other-danger,Merge only equivalent source meanings and visual variants.
308,regulatory--dual-lanes-go-straight-on-left--g1,exclude,,Retain legacy scope; no geography claim.
309,regulatory--u-turn--g1,exclude,,Retain legacy scope; no geography claim.
310,complementary--maximum-speed-limit-40--g1,train,complementary--maximum-speed-limit-40,Merge only equivalent source meanings and visual variants.
311,regulatory--stop-here-on-red-or-flashing-light--g1,exclude,,Retain legacy scope; no geography claim.
312,information--parking--g6,exclude,,Retain legacy scope; no geography claim.
313,regulatory--no-pedestrians--g3,train,regulatory--no-pedestrians,Merge only equivalent source meanings and visual variants.
314,warning--traffic-merges-left--g2,train,warning--traffic-merges-left,Merge only equivalent source meanings and visual variants.
315,regulatory--text-four-lines--g1,exclude,,Retain legacy scope; no geography claim.
316,regulatory--road-closed-to-vehicles--g1,train,regulatory--road-closed-to-vehicles,Merge only equivalent source meanings and visual variants.
317,regulatory--dual-path-bicycles-and-pedestrians--g1,train,regulatory--dual-path-bicycles-and-pedestrians,Merge only equivalent source meanings and visual variants.
318,regulatory--maximum-speed-limit-40--g3,train,regulatory--maximum-speed-limit-40,Merge only equivalent source meanings and visual variants.
319,information--parking--g2,exclude,,Retain legacy scope; no geography claim.
320,warning--bicycles-crossing--g3,train,warning--bicycles-crossing,Merge only equivalent source meanings and visual variants.
321,regulatory--pass-on-either-side--g1,train,regulatory--pass-on-either-side,Merge only equivalent source meanings and visual variants.
322,regulatory--no-bicycles--g3,train,regulatory--no-bicycles,Merge only equivalent source meanings and visual variants.
323,warning--pass-left-or-right--g1,train,warning--pass-left-or-right,Merge only equivalent source meanings and visual variants.
324,regulatory--maximum-speed-limit-10--g1,train,regulatory--maximum-speed-limit-10,Merge only equivalent source meanings and visual variants.
325,complementary--chevron-left--g4,train,complementary--chevron-left,Merge only equivalent source meanings and visual variants.
326,warning--falling-rocks-or-debris-right--g2,train,warning--falling-rocks-or-debris-right,Merge only equivalent source meanings and visual variants.
327,regulatory--maximum-speed-limit-led-100--g1,train,regulatory--maximum-speed-limit-100,Merge only equivalent source meanings and visual variants.
328,warning--pedestrians-crossing--g12,train,warning--pedestrians-crossing,Merge only equivalent source meanings and visual variants.
329,complementary--buses--g1,train,complementary--buses,Merge only equivalent source meanings and visual variants.
330,warning--road-narrows-right--g1,train,warning--road-narrows-right,Merge only equivalent source meanings and visual variants.
331,information--highway-interstate-route--g2,exclude,,Retain legacy scope; no geography claim.
332,warning--y-roads--g1,train,warning--y-roads,Merge only equivalent source meanings and visual variants.
333,warning--railroad-crossing-without-barriers--g1,train,warning--railroad-crossing-without-barriers,Merge only equivalent source meanings and visual variants.
334,warning--narrow-bridge--g3,train,warning--narrow-bridge,Merge only equivalent source meanings and visual variants.
335,regulatory--maximum-speed-limit-110--g1,train,regulatory--maximum-speed-limit-110,Merge only equivalent source meanings and visual variants.
336,regulatory--no-right-turn--g3,train,regulatory--no-right-turn,Merge only equivalent source meanings and visual variants.
337,information--telephone--g2,exclude,,Retain legacy scope; no geography claim.
338,regulatory--stop--g2,exclude,,Retain legacy scope; no geography claim.
339,regulatory--left-turn-yield-on-green--g1,exclude,,Retain legacy scope; no geography claim.
340,warning--dual-lanes-right-turn-or-go-straight--g1,exclude,,Retain legacy scope; no geography claim.
341,regulatory--dual-path-pedestrians-and-bicycles--g1,train,regulatory--dual-path-pedestrians-and-bicycles,Merge only equivalent source meanings and visual variants.
342,regulatory--maximum-speed-limit-100--g3,train,regulatory--maximum-speed-limit-100,Merge only equivalent source meanings and visual variants.
343,complementary--one-direction-left--g1,train,complementary--one-direction-left,Merge only equivalent source meanings and visual variants.
344,regulatory--no-left-turn--g3,train,regulatory--no-left-turn,Merge only equivalent source meanings and visual variants.
345,regulatory--go-straight-or-turn-right--g3,train,regulatory--go-straight-or-turn-right,Merge only equivalent source meanings and visual variants.
346,warning--dip--g2,exclude,,Retain legacy scope; no geography claim.
347,warning--bicycles-crossing--g1,train,warning--bicycles-crossing,Merge only equivalent source meanings and visual variants.
348,regulatory--no-motorcycles--g2,exclude,,Retain legacy scope; no geography claim.
349,regulatory--no-pedestrians--g1,train,regulatory--no-pedestrians,Merge only equivalent source meanings and visual variants.
350,warning--falling-rocks-or-debris-right--g1,train,warning--falling-rocks-or-debris-right,Merge only equivalent source meanings and visual variants.
351,warning--winding-road-first-left--g2,train,warning--winding-road-first-left,Merge only equivalent source meanings and visual variants.
352,regulatory--end-of-maximum-speed-limit-30--g2,train,regulatory--end-of-maximum-speed-limit-30,Merge only equivalent source meanings and visual variants.
353,warning--loop-270-degree--g1,exclude,,Retain legacy scope; no geography claim.
354,complementary--maximum-speed-limit-25--g1,train,complementary--maximum-speed-limit-25,Merge only equivalent source meanings and visual variants.
355,warning--falling-rocks-or-debris-right--g4,train,warning--falling-rocks-or-debris-right,Merge only equivalent source meanings and visual variants.
356,regulatory--road-closed--g1,train,regulatory--road-closed,Merge only equivalent source meanings and visual variants.
357,regulatory--maximum-speed-limit-65--g2,train,regulatory--maximum-speed-limit-65,Merge only equivalent source meanings and visual variants.
358,warning--trail-crossing--g2,exclude,,Retain legacy scope; no geography claim.
359,regulatory--no-vehicles-carrying-dangerous-goods--g1,exclude,,Retain legacy scope; no geography claim.
360,information--end-of-limited-access-road--g1,train,information--end-of-limited-access-road,Merge only equivalent source meanings and visual variants.
361,information--lodging--g1,exclude,,Retain legacy scope; no geography claim.
362,information--telephone--g1,exclude,,Retain legacy scope; no geography claim.
363,information--central-lane--g1,exclude,,Retain legacy scope; no geography claim.
364,warning--offset-roads--g3,exclude,,Retain legacy scope; no geography claim.
365,regulatory--no-motor-vehicle-trailers--g1,exclude,,Retain legacy scope; no geography claim.
366,regulatory--roundabout--g2,train,regulatory--roundabout,Merge only equivalent source meanings and visual variants.
367,warning--roadworks--g6,train,warning--roadworks,Merge only equivalent source meanings and visual variants.
368,warning--crossroads-with-priority-to-the-right--g1,train,warning--crossroads-with-priority-to-the-right,Merge only equivalent source meanings and visual variants.
369,information--no-parking--g3,exclude,,Retain legacy scope; no geography claim.
370,information--gas-station--g3,exclude,,Retain legacy scope; no geography claim.
371,regulatory--dual-lanes-turn-right-or-straight--g1,exclude,,Retain legacy scope; no geography claim.
372,regulatory--maximum-speed-limit-25--g1,train,regulatory--maximum-speed-limit-25,Merge only equivalent source meanings and visual variants.
373,regulatory--dual-lanes-turn-left-or-straight--g1,exclude,,Retain legacy scope; no geography claim.
374,regulatory--no-mopeds-or-bicycles--g1,exclude,,Retain legacy scope; no geography claim.
375,regulatory--no-bicycles--g2,train,regulatory--no-bicycles,Merge only equivalent source meanings and visual variants.
376,warning--horizontal-alignment-right--g3,exclude,,Retain legacy scope; no geography claim.
377,information--camp--g1,exclude,,Retain legacy scope; no geography claim.
378,warning--pedestrians-crossing--g11,train,warning--pedestrians-crossing,Merge only equivalent source meanings and visual variants.
379,regulatory--no-motor-vehicles--g1,exclude,,Retain legacy scope; no geography claim.
380,warning--shared-lane-motorcycles-bicycles--g1,exclude,,Retain legacy scope; no geography claim.
381,information--minimum-speed-40--g1,train,information--minimum-speed-40,Merge only equivalent source meanings and visual variants.
382,information--dead-end-except-bicycles--g1,exclude,,Retain legacy scope; no geography claim.
383,information--airport--g1,exclude,,Retain legacy scope; no geography claim.
384,regulatory--do-not-stop-on-tracks--g1,exclude,,Retain legacy scope; no geography claim.
385,warning--turn-right--g2,train,warning--turn-right,Merge only equivalent source meanings and visual variants.
386,warning--trams-crossing--g1,exclude,,Retain legacy scope; no geography claim.
387,warning--railroad-crossing-with-barriers--g4,train,warning--railroad-crossing-with-barriers,Merge only equivalent source meanings and visual variants.
388,regulatory--end-of-maximum-speed-limit-70--g1,train,regulatory--end-of-maximum-speed-limit-70,Merge only equivalent source meanings and visual variants.
389,regulatory--turning-vehicles-yield-to-pedestrians--g1,exclude,,Retain legacy scope; no geography claim.
390,warning--playground--g3,exclude,,Retain legacy scope; no geography claim.
391,regulatory--bicycles-only--g3,train,regulatory--bicycles-only,Merge only equivalent source meanings and visual variants.
392,warning--hairpin-curve-left--g3,train,warning--hairpin-curve-left,Merge only equivalent source meanings and visual variants.
393,regulatory--end-of-buses-only--g1,exclude,,Retain legacy scope; no geography claim.
394,regulatory--dual-lanes-turn-left-no-u-turn--g1,exclude,,Retain legacy scope; no geography claim.
395,regulatory--shared-path-bicycles-and-pedestrians--g1,train,regulatory--shared-path-pedestrians-and-bicycles,Merge only equivalent source meanings and visual variants.
396,warning--equestrians-crossing--g2,exclude,,Retain legacy scope; no geography claim.
397,regulatory--weight-limit-with-trucks--g1,exclude,,Retain legacy scope; no geography claim.
398,regulatory--detour-left--g1,exclude,,Retain legacy scope; no geography claim.
399,information--end-of-pedestrians-only--g2,exclude,,Retain legacy scope; no geography claim.
400,warning--restricted-zone--g1,exclude,,Retain legacy scope; no geography claim.
